# 013e8ae8-3eb8-49c1-9165-982e48eea8ec
# e4b83772be178ef1ced50105ccc8c013ac433047
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.3681118; -0.0397693; -0.1478782; 0.0001417; 8.0000000; 0.0000000
0.1999958; 0.3975767; 0.1580440; -0.1478547; 0.0000932; 8.0000000; 0.0000000
0.3999915; 0.4270378; 0.3558579; -0.1478411; 0.0000424; 8.0000000; 0.0000000
0.5999873; 0.4564973; 0.5536721; -0.1478379; -0.0000108; 8.0000000; 0.0000000
0.7999830; 0.4859573; 0.7514862; -0.1478455; -0.0000663; 8.0000000; 0.0000000
0.9999788; 0.5154199; 0.9492999; -0.1478646; -0.0001242; 8.0000000; 0.0000000
1.1999746; 0.5448874; 1.1471129; -0.1478955; -0.0001849; 8.0000000; 0.0000000
1.3999703; 0.5743622; 1.3449247; -0.1479387; -0.0002478; 8.0000000; 0.0000000
1.5999661; 0.6038468; 1.5427351; -0.1479947; -0.0003130; 8.0000000; 0.0000000
1.7999618; 0.6333438; 1.7405437; -0.1480640; -0.0003803; 8.0000000; 0.0000000
1.9999576; 0.6628559; 1.9383501; -0.1481470; -0.0004497; 8.0000000; 0.0000000
2.1999533; 0.6923857; 2.1361537; -0.1482434; -0.0005140; 8.0000000; 0.0000000
2.3999491; 0.7219359; 2.3339543; -0.1483526; -0.0005781; 8.0000000; 0.0000000
2.5999449; 0.7515089; 2.5317516; -0.1484744; -0.0006376; 8.0000000; 0.0000000
2.7999406; 0.7811072; 2.7295450; -0.1486072; -0.0006838; 8.0000000; 0.0000000
2.9999364; 0.8107324; 2.9273345; -0.1487459; -0.0007033; 8.0000000; 0.0000000
3.1999321; 0.8403853; 3.1251197; -0.1488879; -0.0007168; 8.0000000; 0.0000000
3.3999279; 0.8700666; 3.3229007; -0.1490325; -0.0007295; 8.0000000; 0.0000000
3.5999237; 0.8997768; 3.5206774; -0.1491794; -0.0007366; 8.0000000; 0.0000000
3.7999194; 0.9295161; 3.7184497; -0.1493269; -0.0007379; 8.0000000; 0.0000000
3.9999152; 0.9592846; 3.9162176; -0.1494745; -0.0007379; 8.0000000; 0.0000000
4.1999109; 0.9890822; 4.1139811; -0.1496213; -0.0007306; 8.0000000; 0.0000000
4.3999067; 1.0189086; 4.3117402; -0.1497650; -0.0007006; 8.0000000; 0.0000000
4.5999024; 1.0487627; 4.5094952; -0.1499012; -0.0006599; 8.0000000; 0.0000000
4.7998982; 1.0786429; 4.7072463; -0.1500288; -0.0006171; 8.0000000; 0.0000000
4.9998940; 1.1085475; 4.9049936; -0.1501482; -0.0005767; 8.0000000; 0.0000000
5.1998897; 1.1384750; 5.1027375; -0.1502603; -0.0005442; 8.0000000; 0.0000000
5.3998855; 1.1684241; 5.3004782; -0.1503661; -0.0005140; 8.0000000; 0.0000000
5.5998812; 1.1983934; 5.4982157; -0.1504659; -0.0004852; 8.0000000; 0.0000000
5.7998770; 1.2283819; 5.6959504; -0.1505602; -0.0004573; 8.0000000; 0.0000000
5.9998728; 1.2583886; 5.8936823; -0.1506489; -0.0004304; 8.0000000; 0.0000000
6.1998685; 1.2884122; 6.0914116; -0.1507324; -0.0004047; 8.0000000; 0.0000000
6.3998643; 1.3184519; 6.2891385; -0.1508109; -0.0003805; 8.0000000; 0.0000000
6.5998600; 1.3485066; 6.4868631; -0.1508847; -0.0003590; 8.0000000; 0.0000000
6.7998558; 1.3785755; 6.6845855; -0.1509547; -0.0003441; 8.0000000; 0.0000000
6.9998515; 1.4086581; 6.8823059; -0.1510233; -0.0003422; 8.0000000; 0.0000000
7.1998473; 1.4387542; 7.0800242; -0.1510920; -0.0003444; 8.0000000; -4.0877893
7.3998431; 1.4688627; 7.2777403; -0.1511380; -0.0000382; 7.8971463; -5.6956333
7.5998388; 1.4989713; 7.4754563; -0.1510600; 0.0012645; 7.7515620; -5.6190627
7.7998346; 1.5290284; 7.6731807; -0.1505846; 0.0035795; 7.6052046; -5.5361037
7.9998303; 1.5589426; 7.8709271; -0.1496014; 0.0062529; 7.4581997; -5.4126531
8.1998261; 1.5886006; 8.0687106; -0.1479512; 0.0102485; 7.3116159; -5.1571297
8.3998219; 1.6178382; 8.2665561; -0.1452003; 0.0182679; 7.1691644; -4.8570737
8.5998176; 1.6463515; 8.4645083; -0.1405855; 0.0281350; 7.0323631; -4.5624632
8.7998134; 1.6737498; 8.6626191; -0.1339219; 0.0384780; 6.9013900; -4.2914583
8.9998091; 1.6996232; 8.8609354; -0.1252017; 0.0487250; 6.7758864; -4.0412718
9.1998049; 1.7235629; 9.0594906; -0.1144391; 0.0589048; 6.6555362; -3.8083832
9.3998007; 1.7451619; 9.2583147; -0.1016410; 0.0690782; 6.5400949; -3.5910409
9.5997964; 1.7640122; 9.4574186; -0.0868079; 0.0792572; 6.4293433; -3.3876380
9.7997922; 1.7797041; 9.6567962; -0.0699375; 0.0894531; 6.3230870; -3.1966850
9.9997879; 1.7918266; 9.8564224; -0.0510252; 0.0996771; 6.2211560; -3.0167940
10.1997837; 1.7999672; 10.0562478; -0.0300649; 0.1099403; 6.1234051; -2.8466069
10.3997794; 1.8037124; 10.2562040; -0.0070470; 0.1202555; 6.0297157; -2.6847127
10.5997752; 1.8026477; 10.4561919; 0.0180407; 0.1306400; 5.9400008; -2.5296622
10.7997710; 1.7963585; 10.6560829; 0.0452142; 0.1411148; 5.8542092; -2.3799303
10.9997667; 1.7844307; 10.8557162; 0.0744938; 0.1517051; 5.7723317; -2.2339732
11.1997625; 1.7664521; 11.0548934; 0.1059045; 0.1624376; 5.6944046; -2.0900237
11.3997582; 1.7420132; 11.2533806; 0.1394784; 0.1733473; 5.6205206; -1.9461323
11.5997540; 1.7107085; 11.4509002; 0.1752556; 0.1844750; 5.5508392; -1.8001641
11.7997498; 1.6721388; 11.6471295; 0.2132844; 0.1958654; 5.4855961; -1.6495572
11.9997455; 1.6259128; 11.8416970; 0.2536231; 0.2075750; 5.4251227; -1.4915544
12.1997413; 1.5716516; 12.0341738; 0.2963384; 0.2196588; 5.3698554; -1.3231297
12.3997370; 1.5089891; 12.2240802; 0.3415110; 0.2321689; 5.3203483; -1.1403602
12.5997328; 1.4375785; 12.4108715; 0.3892352; 0.2451778; 5.2773073; -0.9382093
12.7997285; 1.3570966; 12.5939367; 0.4396200; 0.2587807; 5.2416311; -0.7339980
12.9997243; 1.2672499; 12.7725918; 0.4927985; 0.2731185; 5.2135500; -0.7261545
13.1997201; 1.1677859; 12.9460653; 0.5489184; 0.2882535; 5.1856193; -0.7183949
13.3997158; 1.0584996; 13.1135268; 0.6078908; 0.3007146; 5.1578383; -0.2629958
13.5997116; 0.9393563; 13.2741251; 0.6687138; 0.3018732; 5.1476305; -0.7079078
13.7997073; 0.8107524; 13.4272559; 0.7280514; 0.2905851; 5.1200530; -0.7079078
13.9997031; 0.6734849; 13.5726691; 0.7846179; 0.2752561; 5.0923261; -0.4690824
14.1996989; 0.5284185; 13.7103107; 0.8382111; 0.2607988; 5.0738700; -0.1469026
14.3996946; 0.3763702; 13.8402008; 0.8889923; 0.2471391; 5.0680762; 0.1249692
14.5996904; 0.2180877; 13.9624193; 0.9371072; 0.2341186; 5.0730054; 0.3579684
14.7996861; 0.0542565; 14.0770946; 0.9826708; 0.2216243; 5.0870982; 0.5606591
14.9996819; -0.1144966; 14.1843974; 1.0257836; 0.2095861; 5.1090925; 0.7393488
15.1996776; -0.2876033; 14.2845361; 1.0665288; 0.1979186; 5.1379529; 0.8995953
15.3996734; -0.4645379; 14.3777452; 1.1049724; 0.1865656; 5.1728513; 1.0455672
15.5996692; -0.6448271; 14.4642884; 1.1411710; 0.1754657; 5.2131189; 1.1809446
15.7996649; -0.8280421; 14.5444523; 1.1751698; 0.1645666; 5.2582294; 1.3087688
15.9996607; -1.0137967; 14.6185438; 1.2070055; 0.1538272; 5.3077747; 1.4315118
16.1996564; -1.2017470; 14.6868877; 1.2367068; 0.1432056; 5.3614424; 1.5514190
16.3996522; -1.3915773; 14.7498208; 1.2642939; 0.1326780; 5.4190054; 1.6701728
16.5996480; -1.5830104; 14.8076949; 1.2897822; 0.1222191; 5.4802988; 1.7893640
16.7996437; -1.7758006; 14.8608727; 1.3131835; 0.1118083; 5.5452146; 1.9103883
16.9996395; -1.9697324; 14.9097267; 1.3345058; 0.1014287; 5.6136925; 2.0345131
17.1996352; -2.1646189; 14.9546378; 1.3537551; 0.0910691; 5.6857130; 2.1628367
17.3996310; -2.3602904; 14.9959918; 1.3709339; 0.0807211; 5.7612888; 2.2963866
17.5996268; -2.5566037; 15.0341817; 1.3860436; 0.0703809; 5.8404609; 2.4360782
17.7996225; -2.7534350; 15.0696045; 1.3990857; 0.0600386; 5.9232925; 2.5830014
17.9996183; -2.9506781; 15.1026616; 1.4100560; 0.0496674; 6.0098729; 2.7387109
18.1996140; -3.1482417; 15.1337582; 1.4189506; 0.0392783; 6.1003306; 2.9038466
18.3996098; -3.3460434; 15.1633019; 1.4257680; 0.0289010; 6.1948001; 3.0785711
18.5996055; -3.5440124; 15.1916997; 1.4305794; 0.0200469; 6.2934053; 3.2214666
18.7996013; -3.7420934; 15.2192996; 1.4338994; 0.0136227; 6.3949597; 3.3048656
18.9995971; -3.9402510; 15.2463501; 1.4362141; 0.0095248; 6.4974940; 3.3282228
19.1995928; -4.1384615; 15.2730123; 1.4378810; 0.0072320; 6.5991430; 3.3035025
19.3995886; -4.3367108; 15.2993844; 1.4391797; 0.0060631; 6.6985119; 3.2488321
19.5995843; -4.5349920; 15.3255155; 1.4403310; 0.0055913; 6.7948191; 3.1758759
19.7995801; -4.7333025; 15.3514242; 1.4414335; 0.0054404; 6.8876622; 3.0957428
19.9995759; -4.9316411; 15.3771170; 1.4425095; 0.0053192; 6.9769736; 3.0176082
20.1995716; -5.1300068; 15.4025989; 1.4435592; 0.0051767; 7.0629441; 2.9430354
20.3995674; -5.3283987; 15.4278755; 1.4445792; 0.0050204; 7.1457937; 2.8716340
20.5995631; -5.5268160; 15.4529529; 1.4455670; 0.0048560; 7.2257178; 2.8030892
20.7995589; -5.7252576; 15.4778376; 1.4465214; 0.0046891; 7.3028905; 2.7370767
20.9995546; -5.9237225; 15.5025361; 1.4474429; 0.0045259; 7.3774668; 2.6732490
21.1995504; -6.1222095; 15.5270544; 1.4483405; 0.0044545; 7.4495835; 2.6081697
21.3995462; -6.3207184; 15.5513958; 1.4492278; 0.0044324; 7.5192778; 2.5432799
21.5995419; -6.5192489; 15.5755612; 1.4501144; 0.0044395; 7.5866218; 2.4792391
21.7995377; -6.7178008; 15.5995502; 1.4510043; 0.0044610; 7.6516994; 2.4165287
21.9995334; -6.9163740; 15.6233621; 1.4518994; 0.0044908; 7.7146027; 2.3553061
22.1995292; -7.1149684; 15.6469956; 1.4528005; 0.0045204; 7.7754227; 2.2958353
22.3995250; -7.3135841; 15.6704496; 1.4537075; 0.0045493; 7.8342525; 2.2380809
22.5995207; -7.5122212; 15.6937228; 1.4546199; 0.0045704; 7.8911803; 2.1822656
22.7995165; -7.7108794; 15.7168145; 1.4555350; 0.0045775; 7.9462956; 2.1286028
22.9995122; -7.9095586; 15.7397244; 1.4564492; 0.0045640; 7.9996898; 0.0124087
23.1995080; -8.1082587; 15.7624530; 1.4573599; 0.0045436; 8.0000000; 0.0000000
23.3995038; -8.3069793; 15.7850011; 1.4582658; 0.0045122; 8.0000000; 0.0000000
23.5994995; -8.5057202; 15.8073698; 1.4591640; 0.0044633; 8.0000000; 0.0000000
23.7994953; -8.7044810; 15.8295612; 1.4600502; 0.0043970; 8.0000000; 0.0000000
23.9994910; -8.9032612; 15.8515778; 1.4609222; 0.0043235; 8.0000000; 0.0000000
24.1994868; -9.1020604; 15.8734225; 1.4617794; 0.0042485; 8.0000000; 0.0000000
24.3994825; -9.3008780; 15.8950983; 1.4626213; 0.0041695; 8.0000000; 0.0000000
24.5994783; -9.4997137; 15.9166083; 1.4634471; 0.0040871; 8.0000000; 0.0000000
24.7994741; -9.6985669; 15.9379558; 1.4642560; 0.0040025; 8.0000000; 0.0000000
24.9994698; -9.8974371; 15.9591441; 1.4650480; 0.0039169; 8.0000000; 0.0000000
25.1994656; -10.0963239; 15.9801766; 1.4658227; 0.0038302; 8.0000000; 0.0000000
25.3994613; -10.2952267; 16.0010567; 1.4665799; 0.0037424; 8.0000000; 0.0000000
25.5994571; -10.4941451; 16.0217880; 1.4673195; 0.0036536; 8.0000000; 0.0000000
25.7994529; -10.6930785; 16.0423739; 1.4680413; 0.0035637; 8.0000000; 0.0000000
25.9994486; -10.8920265; 16.0628180; 1.4687449; 0.0034725; 8.0000000; 0.0000000
26.1994444; -11.0909888; 16.0831240; 1.4694301; 0.0033798; 8.0000000; 0.0000000
26.3994401; -11.2899648; 16.1032955; 1.4700967; 0.0032858; 8.0000000; 0.0000000
26.5994359; -11.4889539; 16.1233362; 1.4707444; 0.0031905; 8.0000000; 0.0000000
26.7994316; -11.6879557; 16.1432500; 1.4713728; 0.0030937; 8.0000000; 0.0000000
26.9994274; -11.8869698; 16.1630406; 1.4719817; 0.0029953; 8.0000000; 0.0000000
27.1994232; -12.0859959; 16.1827120; 1.4725707; 0.0028949; 8.0000000; 0.0000000
27.3994189; -12.2850333; 16.2022682; 1.4731395; 0.0027928; 8.0000000; 0.0000000
27.5994147; -12.4840815; 16.2217133; 1.4736877; 0.0026889; 8.0000000; 0.0000000
27.7994104; -12.6831401; 16.2410512; 1.4742150; 0.0025833; 8.0000000; 0.0000000
27.9994062; -12.8822086; 16.2602864; 1.4747208; 0.0024755; 8.0000000; 0.0000000
28.1994020; -13.0812868; 16.2794230; 1.4752049; 0.0023653; 8.0000000; 0.0000000
28.3993977; -13.2803740; 16.2984654; 1.4756668; 0.0022530; 8.0000000; 0.0000000
28.5993935; -13.4794697; 16.3174181; 1.4761060; 0.0021385; 8.0000000; 0.0000000
28.7993892; -13.6785734; 16.3362857; 1.4765221; 0.0020218; 8.0000000; 0.0000000
28.9993850; -13.8776847; 16.3550727; 1.4769145; 0.0019026; 8.0000000; 0.0000000
29.1993807; -14.0768034; 16.3737841; 1.4772828; 0.0017806; 8.0000000; 0.0000000
29.3993765; -14.2759286; 16.3924245; 1.4776266; 0.0016562; 8.0000000; 0.0000000
29.5993723; -14.4750599; 16.4109990; 1.4779452; 0.0015293; 8.0000000; 0.0000000
29.7993680; -14.6741969; 16.4295125; 1.4782382; 0.0014001; 8.0000000; 0.0000000
29.9993638; -14.8733390; 16.4479703; 1.4785050; 0.0012683; 8.0000000; 0.0000000
