# bb58f36d-9245-410e-a943-d601ef7efa8d
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.2863241; 0.1441198; -0.1489071; -0.0004669; 8.0000000; 0.0000000
0.1998347; 0.3159802; 0.3417417; -0.1489995; -0.0004577; 8.0000000; 0.0000000
0.3996693; 0.3456544; 0.5393609; -0.1490900; -0.0004485; 8.0000000; 0.0000000
0.5995040; 0.3753463; 0.7369774; -0.1491785; -0.0004358; 8.0000000; 0.0000000
0.7993386; 0.4050554; 0.9345913; -0.1492640; -0.0004195; 8.0000000; 0.0000000
0.9991733; 0.4347810; 1.1322027; -0.1493462; -0.0004033; 8.0000000; 0.0000000
1.1990079; 0.4645226; 1.3298117; -0.1494253; -0.0003886; 8.0000000; 0.0000000
1.3988426; 0.4942796; 1.5274184; -0.1495015; -0.0003740; 8.0000000; 0.0000000
1.5986772; 0.5240513; 1.7250229; -0.1495748; -0.0003590; 8.0000000; 0.0000000
1.7985119; 0.5538371; 1.9226253; -0.1496450; -0.0003437; 8.0000000; 0.0000000
1.9983465; 0.5836366; 2.1202256; -0.1497122; -0.0003284; 8.0000000; 0.0000000
2.1981812; 0.6134490; 2.3178239; -0.1497763; -0.0003135; 8.0000000; 0.0000000
2.3980158; 0.6432738; 2.5154204; -0.1498374; -0.0002985; 8.0000000; 0.0000000
2.5978505; 0.6731104; 2.7130151; -0.1498956; -0.0002842; 8.0000000; 0.0000000
2.7976851; 0.7029582; 2.9106081; -0.1499511; -0.0002707; 8.0000000; 0.0000000
2.9975198; 0.7328168; 3.1081995; -0.1500038; -0.0002572; 8.0000000; 0.0000000
3.1973544; 0.7626854; 3.3057893; -0.1500541; -0.0002458; 8.0000000; 0.0000000
3.3971891; 0.7925638; 3.5033777; -0.1501021; -0.0002345; 8.0000000; 0.0000000
3.5970237; 0.8224515; 3.7009647; -0.1501478; -0.0002236; 8.0000000; 0.0000000
3.7968584; 0.8523479; 3.8985504; -0.1501915; -0.0002133; 8.0000000; 0.0000000
3.9966930; 0.8822528; 4.0961347; -0.1502331; -0.0002030; 8.0000000; 0.0000000
4.1965277; 0.9121657; 4.2937179; -0.1502728; -0.0001940; 8.0000000; 0.0000000
4.3963623; 0.9420863; 4.4912999; -0.1503106; -0.0001851; 8.0000000; 0.0000000
4.5961970; 0.9720142; 4.6888808; -0.1503468; -0.0001771; 8.0000000; 0.0000000
4.7960316; 1.0019491; 4.8864606; -0.1503815; -0.0001700; 8.0000000; 0.0000000
4.9958663; 1.0318907; 5.0840394; -0.1504147; -0.0001630; 8.0000000; 0.0000000
5.1957009; 1.0618387; 5.2816173; -0.1504468; -0.0001575; 8.0000000; 0.0000000
5.3955356; 1.0917930; 5.4791942; -0.1504777; -0.0001519; 8.0000000; 0.0000000
5.5953702; 1.1217533; 5.6767701; -0.1505075; -0.0001470; 8.0000000; 0.0000000
5.7952049; 1.1517193; 5.8743453; -0.1505365; -0.0001428; 8.0000000; 0.0000000
5.9950395; 1.1816910; 6.0719195; -0.1505646; -0.0001385; 8.0000000; 0.0000000
6.1948742; 1.2116682; 6.2694929; -0.1505919; -0.0001352; 8.0000000; 0.0000000
