# f48b8f62-6de0-4421-b29a-296311e8d112
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0329573; 0.3057037; -1.3932806; -0.0403977; 8.0000000; 0.0000000
0.1998924; 0.1639331; 0.3402223; -1.4011251; -0.0380889; 8.0000000; 0.0000000
0.3997848; 0.3610789; 0.3732405; -1.4085082; -0.0357822; 8.0000000; 0.0000000
0.5996773; 0.5584566; 0.4048479; -1.4154303; -0.0334759; 8.0000000; 0.0000000
0.7995697; 0.7560419; 0.4351340; -1.4218913; -0.0311685; 8.0000000; 0.0000000
0.9994621; 0.9538089; 0.4641880; -1.4278911; -0.0288626; 8.0000000; 0.0000000
1.1993545; 1.1517455; 0.4921012; -1.4334298; -0.0265535; 8.0000000; 0.0000000
1.3992469; 1.3498238; 0.5189630; -1.4385069; -0.0242448; 8.0000000; 0.0000000
1.5991394; 1.5480310; 0.5448646; -1.4431225; -0.0219349; 8.0000000; 0.0000000
1.7990318; 1.7463509; 0.5698971; -1.4472760; -0.0196230; 8.0000000; 0.0000000
1.9989242; 1.9447628; 0.5941508; -1.4509674; -0.0173113; 8.0000000; 0.0000000
2.1988166; 2.1432642; 0.6177166; -1.4542287; -0.0153197; 8.0000000; 0.0000000
2.3987090; 2.3418327; 0.6406738; -1.4570920; -0.0133288; 8.0000000; 0.0000000
2.5986014; 2.5404621; 0.6631009; -1.4595918; -0.0120347; 8.0000000; 0.0000000
2.7984939; 2.7391461; 0.6850489; -1.4619390; -0.0114496; 8.0000000; 0.0000000
2.9983863; 2.9378784; 0.7065421; -1.4641692; -0.0108644; 8.0000000; 0.0000000
3.1982787; 3.1366588; 0.7276013; -1.4663191; -0.0106482; 8.0000000; 0.0000000
3.3981711; 3.3354830; 0.7482374; -1.4684262; -0.0104338; 8.0000000; 0.0000000
3.5980635; 3.5343500; 0.7684587; -1.4704904; -0.0102190; 8.0000000; 0.0000000
3.7979560; 3.7332580; 0.7882738; -1.4725116; -0.0100037; 8.0000000; 0.0000000
3.9978484; 3.9322046; 0.8076910; -1.4744897; -0.0097884; 8.0000000; 0.0000000
4.1977408; 4.1311898; 0.8267191; -1.4764246; -0.0095711; 8.0000000; 0.0000000
4.3976332; 4.3302103; 0.8453663; -1.4783161; -0.0093538; 8.0000000; 0.0000000
4.5975256; 4.5292656; 0.8636414; -1.4801641; -0.0091355; 8.0000000; 0.0000000
4.7974181; 4.7283541; 0.8815530; -1.4819683; -0.0089163; 8.0000000; 0.0000000
4.9973105; 4.9274734; 0.8991097; -1.4837287; -0.0086971; 8.0000000; 0.0000000
5.1972029; 5.1266241; 0.9163203; -1.4854451; -0.0084759; 8.0000000; 0.0000000
5.3970953; 5.3258029; 0.9331934; -1.4871172; -0.0082546; 8.0000000; 0.0000000
5.5969877; 5.5250094; 0.9497378; -1.4887451; -0.0080322; 8.0000000; 0.0000000
5.7968802; 5.7242425; 0.9659624; -1.4903283; -0.0078087; 8.0000000; 0.0000000
5.9967726; 5.9234998; 0.9818759; -1.4918669; -0.0075852; 8.0000000; 0.0000000
6.1966650; 6.1227823; 0.9974874; -1.4933605; -0.0073592; 8.0000000; 0.0000000
6.3965574; 6.3220867; 1.0128057; -1.4948090; -0.0071332; 8.0000000; 0.0000000
6.5964498; 6.5214129; 1.0278397; -1.4962122; -0.0069058; 8.0000000; 0.0000000
6.7963422; 6.7207599; 1.0425987; -1.4975698; -0.0066771; 8.0000000; 0.0000000
6.9962347; 6.9201256; 1.0570914; -1.4988816; -0.0064483; 8.0000000; 0.0000000
7.1961271; 7.1195111; 1.0713273; -1.5001474; -0.0062166; 8.0000000; 0.0000000
7.3960195; 7.3189133; 1.0853154; -1.5013669; -0.0059849; 8.0000000; 0.0000000
7.5959119; 7.5183322; 1.0990649; -1.5025400; -0.0057515; 8.0000000; 0.0000000
7.7958043; 7.7177670; 1.1125852; -1.5036662; -0.0055166; 8.0000000; 0.0000000
7.9956968; 7.9172159; 1.1258855; -1.5047455; -0.0052816; 8.0000000; 0.0000000
8.1955892; 8.1166798; 1.1389753; -1.5057774; -0.0050432; 8.0000000; 0.0000000
8.3954816; 8.3161561; 1.1518639; -1.5067616; -0.0048048; 8.0000000; 0.0000000
8.5953740; 8.5156448; 1.1645610; -1.5076982; -0.0045647; 8.0000000; 0.0000000
8.7952664; 8.7151452; 1.1770761; -1.5085864; -0.0043228; 8.0000000; 0.0000000
8.9951589; 8.9146557; 1.1894187; -1.5094264; -0.0040809; 8.0000000; 0.0000000
9.1950513; 9.1141771; 1.2015987; -1.5102176; -0.0038355; 8.0000000; 0.0000000
9.3949437; 9.3137072; 1.2136257; -1.5109597; -0.0035901; 8.0000000; 0.0000000
9.5948361; 9.5132460; 1.2255095; -1.5116527; -0.0033431; 8.0000000; 0.0000000
9.7947285; 9.7127929; 1.2372599; -1.5122961; -0.0030944; 8.0000000; 0.0000000
9.9946209; 9.9123466; 1.2488869; -1.5128898; -0.0028457; 8.0000000; 0.0000000
10.1945134; 10.1119073; 1.2604004; -1.5134335; -0.0025940; 8.0000000; 0.0000000
10.3944058; 10.3114738; 1.2718105; -1.5139269; -0.0023423; 8.0000000; 0.0000000
10.5942982; 10.5110455; 1.2831271; -1.5143699; -0.0020896; 8.0000000; 0.0000000
10.7941906; 10.7106221; 1.2943603; -1.5147622; -0.0018358; 8.0000000; 0.0000000
10.9940830; 10.9102026; 1.3055203; -1.5151038; -0.0015820; 8.0000000; 0.0000000
