# 4e4f3430-7604-4d39-bdfe-948e3ca860c0
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.3685349; -0.0156958; -0.0397818; -0.0008327; 7.9492222; 2.0268774
0.1997818; 0.3764969; 0.1839273; -0.0399449; -0.0007996; 8.0000000; 0.0000000
0.3995636; 0.3844907; 0.3835491; -0.0401013; -0.0007666; 8.0000000; 0.0000000
0.5993454; 0.3925152; 0.5831696; -0.0402516; -0.0007420; 8.0000000; 0.0000000
0.7991272; 0.4005692; 0.7827890; -0.0403982; -0.0007258; 8.0000000; 0.0000000
0.9989090; 0.4086522; 0.9824073; -0.0405416; -0.0007097; 8.0000000; 0.0000000
1.1986909; 0.4167636; 1.1820242; -0.0406825; -0.0007010; 8.0000000; 0.0000000
1.3984727; 0.4249029; 1.3816402; -0.0408217; -0.0006924; 8.0000000; 0.0000000
1.5982545; 0.4330698; 1.5812550; -0.0409590; -0.0006788; 8.0000000; 0.0000000
1.7980363; 0.4412638; 1.7808686; -0.0410927; -0.0006603; 8.0000000; 0.0000000
1.9978181; 0.4494841; 1.9804815; -0.0412228; -0.0006418; 8.0000000; 0.0000000
2.1975999; 0.4577300; 2.1800927; -0.0413499; -0.0006308; 8.0000000; 0.0000000
2.3973817; 0.4660012; 2.3797034; -0.0414748; -0.0006199; 8.0000000; 0.0000000
2.5971635; 0.4742970; 2.5793128; -0.0415978; -0.0006142; 8.0000000; 0.0000000
2.7969453; 0.4826173; 2.7789212; -0.0417205; -0.0006138; 8.0000000; 0.0000000
2.9967271; 0.4909622; 2.9785290; -0.0418431; -0.0006134; 8.0000000; 0.0000000
3.1965089; 0.4993315; 3.1781351; -0.0419665; -0.0006225; 8.0000000; 0.0000000
3.3962907; 0.5077256; 3.3777406; -0.0420918; -0.0006316; 8.0000000; 0.0000000
3.5960726; 0.5161449; 3.5773447; -0.0422156; -0.0005755; 8.0000000; 0.0000000
3.7958544; 0.5245869; 3.7769478; -0.0423186; -0.0004560; 8.0000000; 0.0000000
3.9956362; 0.5330472; 3.9765510; -0.0423978; -0.0003239; 8.0000000; 0.0000000
4.1954180; 0.5415109; 4.1761505; -0.0423051; 0.0012522; 8.0000000; 0.0000000
4.3951998; 0.5499247; 4.3757557; -0.0418975; 0.0028281; 8.0000000; 0.0000000
4.5949816; 0.5582222; 4.5753638; -0.0410734; 0.0064016; 8.0000000; 0.0000000
4.7947634; 0.5662614; 4.7749818; -0.0392456; 0.0118961; 8.0000000; 0.0000000
4.9945452; 0.5738264; 4.9746258; -0.0363201; 0.0173996; 8.0000000; 0.0000000
5.1943270; 0.5806908; 5.1742859; -0.0321988; 0.0238594; 8.0000000; 0.0000000
5.3941088; 0.5866036; 5.3739814; -0.0267867; 0.0303202; 8.0000000; 0.0000000
5.5938906; 0.5913066; 5.5737097; -0.0200843; 0.0367731; 8.0000000; 0.0000000
5.7936724; 0.5945422; 5.7734654; -0.0120935; 0.0432230; 8.0000000; 0.0000000
5.9934543; 0.5960528; 5.9732403; -0.0028137; 0.0496757; 8.0000000; 0.0000000
6.1932361; 0.5955808; 6.1730246; 0.0077518; 0.0560949; 8.0000000; 0.0000000
6.3930179; 0.5928701; 6.3727855; 0.0196007; 0.0625257; 8.0000000; 0.0000000
6.5927997; 0.5876642; 6.5724997; 0.0327353; 0.0689660; 8.0000000; 0.0000000
6.7925815; 0.5797071; 6.7721239; 0.0471590; 0.0754306; 8.0000000; 0.0000000
6.9923633; 0.5687432; 6.9715959; 0.0628753; 0.0819100; 8.0000000; -0.8804829
7.1921451; 0.5545156; 7.1708761; 0.0798893; 0.0884166; 7.9779816; -1.7004074
7.3919269; 0.5367712; 7.3698624; 0.0982060; 0.0949575; 7.9352864; -1.6822562
7.5917087; 0.5152550; 7.5684789; 0.1178322; 0.1015286; 7.8928196; -1.6642987
7.7914905; 0.4897143; 7.7666202; 0.1387777; 0.1081616; 7.8505801; -1.6465329
7.9912723; 0.4598997; 7.9641537; 0.1610517; 0.1148339; 7.8085667; -1.6289568
8.1910541; 0.4255593; 8.1609616; 0.1846689; 0.1216060; 7.7667781; -1.6115683
8.3908360; 0.3864493; 8.3568703; 0.2096464; 0.1284546; 7.7252131; -1.5943654
8.5906178; 0.3423252; 8.5517099; 0.2359995; 0.1354058; 7.6838706; -1.5773461
8.7903996; 0.2929463; 8.7452859; 0.2637597; 0.1425185; 7.6427493; -1.5605085
8.9901814; 0.2380759; 8.9373793; 0.2929505; 0.1497168; 7.6018481; -1.5438507
9.1899632; 0.1774876; 9.1277349; 0.3235981; 0.1571378; 7.5611658; -1.5273706
9.3897450; 0.1109507; 9.3161041; 0.3557464; 0.1647130; 7.5207012; -1.5110665
9.5895268; 0.0382563; 9.5021774; 0.3893539; 0.1711723; 7.4804532; -1.4949365
9.7893086; -0.0407565; 9.6856563; 0.4241016; 0.1767300; 7.4404205; -1.4789786
9.9890904; -0.1262046; 9.8662461; 0.4599842; 0.1822880; 7.4006021; -1.4631910
10.1888722; -0.2180957; 10.0436029; 0.4959287; 0.1776274; 7.3609968; -1.4475720
10.3886540; -0.3162388; 10.2176172; 0.5309719; 0.1732135; 7.3216034; -1.4321197
10.5884358; -0.4203385; 10.3881261; 0.5650831; 0.1675932; 7.2824208; -1.4168323
10.7882177; -0.5300826; 10.5550498; 0.5978799; 0.1607691; 7.2434480; -1.4017082
10.9879995; -0.6451435; 10.7183801; 0.6293355; 0.1541429; 7.2046837; -1.3867455
11.1877813; -0.7651637; 10.8780694; 0.6594785; 0.1476478; 7.1661269; -1.3719425
11.3875631; -0.8898517; 11.0341619; 0.6883374; 0.1412735; 7.1277764; -1.3572975
11.5873449; -1.0188943; 11.1866717; 0.7159370; 0.1350322; 7.0896311; -1.3428088
11.7871267; -1.1520014; 11.3356424; 0.7422957; 0.1288593; 7.0516900; -1.3284749
11.9869085; -1.2889051; 11.4811432; 0.7674320; 0.1227903; 7.0139519; -1.3142939
12.1866903; -1.4293315; 11.6232369; 0.7913613; 0.1167731; 6.9764158; -1.3002643
12.3864721; -1.5730371; 11.7620185; 0.8140942; 0.1108145; 6.9390806; -1.2863844
12.5862539; -1.7197807; 11.8975856; 0.8356437; 0.1049161; 6.9019451; -1.2726528
12.7860357; -1.8693327; 12.0300465; 0.8560165; 0.0990404; 6.8650084; -1.2726528
12.9858175; -2.0214745; 12.1595210; 0.8752198; 0.0932128; 6.8278719; -1.0184202
13.1855994; -2.1760066; 12.2861446; 0.8932612; 0.0873965; 6.7980079; -0.6857813
13.3853812; -2.3327213; 12.4100471; 0.9101421; 0.0816025; 6.7778240; -0.3781757
13.5851630; -2.4914375; 12.5313802; 0.9258683; 0.0758286; 6.7666678; -0.0918116
13.7849448; -2.6519745; 12.6502958; 0.9404408; 0.0700550; 6.7639566; 0.1774669
13.9847266; -2.8141522; 12.7669473; 0.9538606; 0.0642979; 6.7691962; 0.4317646
