# 889a5fec-78ce-4177-a912-079a807905f9
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.3364879; -0.1246201; -0.1695896; -0.0015117; 8.0000000; 0.0000000
0.1999822; 0.3702705; 0.0724883; -0.1698953; -0.0015455; 8.0000000; 0.0000000
0.3999644; 0.4041140; 0.2695859; -0.1702078; -0.0015793; 8.0000000; 0.0000000
0.5999466; 0.4380197; 0.4666728; -0.1705265; -0.0016037; 8.0000000; 0.0000000
0.7999288; 0.4719887; 0.6637490; -0.1708487; -0.0016190; 8.0000000; 0.0000000
0.9999110; 0.5060214; 0.8608139; -0.1711741; -0.0016336; 8.0000000; 0.0000000
1.1998931; 0.5401180; 1.0578679; -0.1714944; -0.0015698; 8.0000000; 0.0000000
1.3998753; 0.5742764; 1.2549113; -0.1718019; -0.0015061; 8.0000000; 0.0000000
1.5998575; 0.6084942; 1.4519442; -0.1720963; -0.0014331; 8.0000000; 0.0000000
1.7998397; 0.6427685; 1.6489674; -0.1723747; -0.0013513; 8.0000000; 0.0000000
1.9998219; 0.6770960; 1.8459815; -0.1726368; -0.0012696; 8.0000000; 0.0000000
2.1998041; 0.7114735; 2.0429866; -0.1728823; -0.0011856; 8.0000000; 0.0000000
2.3997863; 0.7458977; 2.2399837; -0.1731110; -0.0011016; 8.0000000; 0.0000000
2.5997685; 0.7803653; 2.4369732; -0.1733222; -0.0010051; 8.0000000; 0.0000000
2.7997507; 0.8148724; 2.6339557; -0.1735124; -0.0008972; 8.0000000; 0.0000000
2.9997329; 0.8494150; 2.8309323; -0.1736811; -0.0007882; 8.0000000; 0.0000000
3.1997151; 0.8839882; 3.0279030; -0.1738240; -0.0006415; 8.0000000; 0.0000000
3.3996972; 0.9185869; 3.2248696; -0.1739376; -0.0004948; 8.0000000; 0.0000000
3.5996794; 0.9532049; 3.4218328; -0.1740218; -0.0003462; 8.0000000; 0.0000000
3.7996616; 0.9878366; 3.6187935; -0.1740760; -0.0001958; 8.0000000; 0.0000000
3.9996438; 1.0224761; 3.8157529; -0.1741001; -0.0000460; 8.0000000; 0.0000000
4.1996260; 1.0571174; 4.0127120; -0.1740960; 0.0000871; 8.0000000; 0.0000000
4.3996082; 1.0917553; 4.2096716; -0.1740653; 0.0002202; 8.0000000; 0.0000000
4.5995904; 1.1263846; 4.4066328; -0.1740086; 0.0003420; 8.0000000; 0.0000000
4.7995726; 1.1610004; 4.6035963; -0.1739290; 0.0004542; 8.0000000; 0.0000000
4.9995548; 1.1955983; 4.8005629; -0.1738269; 0.0005662; 8.0000000; 0.0000000
5.1995370; 1.2301740; 4.9975336; -0.1737031; 0.0006719; 8.0000000; 0.0000000
5.3995192; 1.2647231; 5.1945087; -0.1735582; 0.0007777; 8.0000000; 0.0000000
5.5995014; 1.2992417; 5.3914893; -0.1733922; 0.0008809; 8.0000000; 0.0000000
5.7994835; 1.3337255; 5.5884760; -0.1732059; 0.0009821; 8.0000000; 0.0000000
5.9994657; 1.3681707; 5.7854693; -0.1729994; 0.0010828; 8.0000000; 0.0000000
6.1994479; 1.4025732; 5.9824703; -0.1727736; 0.0011756; 8.0000000; 0.0000000
6.3994301; 1.4369295; 6.1794792; -0.1725292; 0.0012684; 8.0000000; 0.0000000
6.5994123; 1.4712357; 6.3764969; -0.1722665; 0.0013578; 8.0000000; 0.0000000
6.7993945; 1.5054885; 6.5735238; -0.1719863; 0.0014445; 8.0000000; 0.0000000
6.9993767; 1.5396843; 6.7705605; -0.1716888; 0.0015176; 8.0000000; 0.0000000
7.1993589; 1.5738213; 6.9676066; -0.1713962; 0.0014089; 8.0000000; 0.0000000
7.3993411; 1.6079029; 7.1646635; -0.1711253; 0.0013001; 8.0000000; -2.8881455
7.5993233; 1.6419315; 7.3617261; -0.1708441; 0.0017517; 7.9274740; -5.5853581
7.7993055; 1.6758907; 7.5588016; -0.1704070; 0.0026188; 7.7853003; -5.5206587
7.9992876; 1.7097478; 7.7559014; -0.1697924; 0.0040300; 7.6421747; -5.1034200
8.1992698; 1.7434074; 7.9530160; -0.1682099; 0.0117961; 7.5074395; -4.7153167
8.3992520; 1.7766054; 8.1502292; -0.1650747; 0.0195566; 7.3807648; -4.2834680
8.5992342; 1.8090261; 8.3475547; -0.1603130; 0.0286082; 7.2637768; -3.8282517
8.7992164; 1.8403169; 8.5450649; -0.1535950; 0.0385779; 7.1576036; -3.3954576
