# 70ef6ab2-350e-4a9d-9c77-e54696023b7f
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.3783154; 0.0376169; -0.1288295; -0.0001600; 8.0000000; 0.0000000
0.1997866; 0.4039860; 0.2357473; -0.1288643; -0.0001885; 8.0000000; 0.0000000
0.3995733; 0.4296641; 0.4338770; -0.1289048; -0.0002171; 8.0000000; 0.0000000
0.5993599; 0.4553507; 0.6320055; -0.1289511; -0.0002481; 8.0000000; 0.0000000
0.7991466; 0.4810472; 0.8301326; -0.1290041; -0.0002816; 8.0000000; 0.0000000
0.9989332; 0.5067549; 1.0282585; -0.1290637; -0.0003151; 8.0000000; 0.0000000
1.1987199; 0.5324751; 1.2263826; -0.1291304; -0.0003533; 8.0000000; 0.0000000
1.3985065; 0.5582092; 1.4245049; -0.1292048; -0.0003915; 8.0000000; 0.0000000
1.5982932; 0.5839589; 1.6226253; -0.1292870; -0.0004317; 8.0000000; 0.0000000
1.7980798; 0.6097256; 1.8207433; -0.1293775; -0.0004740; 8.0000000; 0.0000000
1.9978665; 0.6355111; 2.0188591; -0.1294764; -0.0005161; 8.0000000; 0.0000000
2.1976531; 0.6613170; 2.2169720; -0.1295829; -0.0005506; 8.0000000; 0.0000000
2.3974398; 0.6871446; 2.4150822; -0.1296964; -0.0005851; 8.0000000; 0.0000000
2.5972264; 0.7129954; 2.6131894; -0.1298156; -0.0005978; 8.0000000; 0.0000000
2.7970131; 0.7388699; 2.8112935; -0.1299343; -0.0005899; 8.0000000; 0.0000000
2.9967997; 0.7647676; 3.0093945; -0.1300513; -0.0005818; 8.0000000; 0.0000000
3.1965864; 0.7906884; 3.2074925; -0.1301659; -0.0005649; 8.0000000; 0.0000000
3.3963730; 0.8166315; 3.4055876; -0.1302770; -0.0005480; 8.0000000; 0.0000000
3.5961597; 0.8425962; 3.6036798; -0.1303849; -0.0005316; 8.0000000; 0.0000000
3.7959463; 0.8685821; 3.8017693; -0.1304895; -0.0005156; 8.0000000; 0.0000000
3.9957330; 0.8945883; 3.9998561; -0.1305909; -0.0004996; 8.0000000; 0.0000000
4.1955196; 0.9206143; 4.1979403; -0.1306887; -0.0004798; 8.0000000; 0.0000000
4.3953063; 0.9466592; 4.3960220; -0.1307826; -0.0004599; 8.0000000; 0.0000000
4.5950929; 0.9727224; 4.5941013; -0.1308726; -0.0004411; 8.0000000; 0.0000000
4.7948796; 0.9988030; 4.7921783; -0.1309589; -0.0004233; 8.0000000; 0.0000000
4.9946662; 1.0249004; 4.9902531; -0.1310417; -0.0004057; 8.0000000; 0.0000000
5.1944529; 1.0510139; 5.1883258; -0.1311218; -0.0003964; 8.0000000; 0.0000000
5.3942395; 1.0771430; 5.3863965; -0.1312001; -0.0003871; 8.0000000; 0.0000000
5.5940262; 1.1032875; 5.5844651; -0.1312766; -0.0003801; 8.0000000; 0.0000000
5.7938128; 1.1294471; 5.7825317; -0.1313520; -0.0003750; 8.0000000; 0.0000000
5.9935995; 1.1556214; 5.9805963; -0.1314264; -0.0003700; 8.0000000; 0.0000000
6.1933861; 1.1818105; 6.1786590; -0.1315001; -0.0003676; 8.0000000; 0.0000000
6.3931728; 1.2080140; 6.3767198; -0.1315733; -0.0003652; 8.0000000; 0.0000000
6.5929594; 1.2342319; 6.5747786; -0.1316419; -0.0002856; 8.0000000; 0.0000000
6.7927461; 1.2604610; 6.7728360; -0.1316843; -0.0001386; 8.0000000; 0.0000000
6.9925327; 1.2866956; 6.9708928; -0.1316972; 0.0000300; 8.0000000; -2.5473687
7.1923194; 1.3129253; 7.1689497; -0.1316159; 0.0007837; 7.9361287; -5.6501577
7.3921060; 1.3391241; 7.3670113; -0.1313841; 0.0015373; 7.7925918; -5.5721046
7.5918926; 1.3652602; 7.5650789; -0.1309563; 0.0031347; 7.6484000; -5.4612897
7.7916793; 1.3912712; 7.7631631; -0.1300982; 0.0054562; 7.5043879; -5.3479198
7.9914659; 1.4170670; 7.9612812; -0.1287752; 0.0080254; 7.3606353; -4.9370204
8.1912526; 1.4425078; 8.1594321; -0.1263279; 0.0164743; 7.2253893; -4.5558690
8.3910392; 1.4672977; 8.3576778; -0.1221928; 0.0249197; 7.0982988; -4.1623610
8.5908259; 1.4910984; 8.5560403; -0.1163289; 0.0341374; 6.9801632; -3.7611054
8.7906125; 1.5135446; 8.7545589; -0.1085225; 0.0440108; 6.8716694; -3.3810340
8.9903992; 1.5342456; 8.9532792; -0.0987431; 0.0538771; 6.7726561; -3.0220538
9.1901858; 1.5528054; 9.1521939; -0.0870041; 0.0636462; 6.6829139; -2.6750367
9.3899725; 1.5688352; 9.3513376; -0.0733112; 0.0734279; 6.6024590; -2.3364446
9.5897591; 1.5819419; 9.5506934; -0.0576639; 0.0832142; 6.5313769; -2.0009280
9.7895458; 1.5917322; 9.7502368; -0.0400582; 0.0930377; 6.4698815; -1.6651761
9.9893324; 1.5978121; 9.9499315; -0.0204869; 0.1028814; 6.4182557; -1.3230354
10.1891191; 1.5997860; 10.1497032; 0.0010556; 0.1127894; 6.3769395; -1.0864041
10.3889057; 1.5972580; 10.3494694; 0.0245852; 0.1227651; 6.3428116; -1.0748069
10.5886924; 1.5898315; 10.5491131; 0.0501122; 0.1328000; 6.3088664; -1.0633334
10.7884790; 1.5771109; 10.7484882; 0.0776586; 0.1429772; 6.2751028; -1.0519824
10.9882657; 1.5587008; 10.9474187; 0.1072478; 0.1532384; 6.2415199; -1.0407527
11.1880523; 1.5342099; 11.1456873; 0.1389031; 0.1636966; 6.2081168; -1.0296427
11.3878390; 1.5032482; 11.3430507; 0.1726687; 0.1743424; 6.1748924; -1.0186514
11.5876256; 1.4654326; 11.5392118; 0.2085748; 0.1851690; 6.1418459; -1.0077774
11.7874123; 1.4203869; 11.7338391; 0.2466806; 0.1963494; 6.1089761; -0.9970195
11.9871989; 1.3677395; 11.9265593; 0.2870463; 0.2077450; 6.0762823; -0.9863765
12.1869856; 1.3071471; 12.1169048; 0.3297197; 0.2195661; 6.0437635; -0.9758470
12.3867722; 1.2382587; 12.3044258; 0.3748067; 0.2318313; 6.0114187; -0.9654299
12.5865589; 1.1607666; 12.4885429; 0.4223735; 0.2444772; 5.9792470; -0.9551241
12.7863455; 1.0743770; 12.6686532; 0.4725403; 0.2578538; 5.9472475; -0.9449282
12.9861322; 0.9788093; 12.8441054; 0.5254406; 0.2714665; 5.9154192; -0.9348412
13.1859188; 0.8739201; 13.0140905; 0.5805987; 0.2809679; 5.8837613; -0.9248619
13.3857055; 0.7596385; 13.1779466; 0.6377820; 0.2916048; 5.8522728; -0.9149891
13.5854921; 0.6360404; 13.3348657; 0.6965171; 0.2909549; 5.8209528; -0.9052217
13.7852788; 0.5035360; 13.4843549; 0.7536293; 0.2809566; 5.7898005; -0.8955586
13.9850654; 0.3628355; 13.6261865; 0.8088669; 0.2719536; 5.7588148; -0.8859986
